Years of sample collection,Elephant ID,Sex,Estimated age (years),Shoulder height (cm),Tusk length (cm),Tusk circumference (cm)
2005-13,37,f,28.0,270.0,66.7256,20.0
2005-13,53,f,30.0,275.0,70.193,22.0
2005-13,58,f,30.0,280.0,75.972,25.0
2005-13,46,f,32.0,280.0,93.309,29.0
2005-13,25,m,3.0,168.0,26.5,10.0
2005-13,36,m,3.5,175.0,48.5,17.0
2005-13,18,m,4.0,150.0,31.7,13.0
2005-13,48,m,4.5,150.0,33.0,10.0
2005-13,12,m,6.0,195.0,45.9,18.0
2005-13,33,m,6.0,185.0,49.8,19.0
2005-13,49,m,6.5,180.0,71.8,20.0
2005-13,6,m,7.0,215.0,58.9,20.0
2005-13,28,m,7.0,190.0,65.3,19.0
2005-13,35,m,7.0,190.0,82.1,21.0
2005-13,61,m,7.0,185.0,52.4,19.0
2005-13,38,m,9.0,260.0,84.7,22.0
2005-13,32,m,10.0,230.0,71.8,22.0
2005-13,43,m,10.0,220.0,84.7,25.0
2005-13,45,m,10.0,194.0,58.9,25.0
2005-13,20,m,11.0,220.0,65.3,20.0
2005-13,24,m,12.0,224.0,73.1,25.0
2005-13,41,m,13.0,210.0,58.9,20.0
2005-13,47,m,13.0,215.0,97.7,28.0
2005-13,30,m,15.0,253.0,74.4,24.0
2005-13,5,m,17.5,275.0,118.4,30.0
2005-13,21,m,17.5,235.0,97.7,27.0
2005-13,50,m,25.0,256.0,87.3,31.0
2005-13,8,m,42.5,280.0,136.5,40.0
2005-13,42,f,2.5,160.0,33.2074,8.0
2005-13,56,f,3.0,170.0,43.6096,12.0
2005-13,65,f,3.0,220.0,49.3886,13.0
2005-13,117,f,3.5,160.0,33.2074,11.0
2005-13,99,f,3.5,180.0,41.298,12.0
2005-13,11,f,3.5,180.0,47.077,13.0
2005-13,82,f,4.5,150.0,38.9864,11.0
2005-13,127,f,4.5,170.0,40.1422,10.0
2005-13,64,f,4.5,180.0,48.2328,14.0
2005-13,135,f,4.5,190.0,49.3886,12.0
2005-13,132,f,4.5,190.0,51.7002,13.0
2005-13,30,f,4.5,160.0,52.856,14.0
2005-13,36,f,4.5,190.0,59.7908,16.0
2005-13,148,f,5.5,190.0,43.6096,11.0
2005-13,101,f,5.5,180.0,49.3886,12.0
2005-13,3,f,5.5,160.0,54.0118,16.0
2005-13,67,f,7.5,200.0,52.856,14.0
2005-13,39,f,7.5,200.0,60.9466,16.0
2005-13,126,f,8.5,220.0,57.4792,16.0
2005-13,63,f,8.5,220.0,93.309,20.0
2005-13,113,f,9.0,230.0,57.4792,15.0
2005-13,79,f,9.0,220.0,59.7908,15.0
2005-13,16,f,9.0,230.0,60.9466,17.0
2005-13,69,f,9.5,240.0,64.414,15.0
2005-13,49,f,12.5,240.0,62.1024,17.0
2005-13,146,f,12.5,240.0,72.5046,18.0
2005-13,131,f,17.5,240.0,69.0372,17.0
2005-13,107,f,17.5,250.0,72.5046,15.0
2005-13,141,f,17.5,230.0,73.6604,17.0
2005-13,118,f,17.5,230.0,93.309,20.0
2005-13,124,f,17.5,240.0,95.6206,19.0
2005-13,29,f,22.5,220.0,62.1024,17.0
2005-13,18,f,22.5,220.0,66.7256,20.0
2005-13,37,f,22.5,260.0,66.7256,19.0
2005-13,108,f,22.5,230.0,73.6604,18.0
2005-13,55,f,22.5,250.0,77.1278,18.0
2005-13,44,f,22.5,250.0,78.2836,20.0
2005-13,120,f,22.5,240.0,80.5952,19.0
2005-13,2,f,22.5,230.0,81.751,25.0
2005-13,66,f,22.5,250.0,81.751,17.0
2005-13,77,f,22.5,250.0,89.8416,25.0
2005-13,100,f,22.5,230.0,92.1532,20.0
2005-13,147,f,22.5,260.0,93.309,21.0
2005-13,98,f,22.5,260.0,99.088,24.0
2005-13,97,f,22.5,270.0,101.3996,22.0
2005-13,140,f,27.5,210.0,70.193,17.0
2005-13,112,f,27.5,240.0,84.0626,21.0
2005-13,27,f,27.5,230.0,89.8416,21.0
2005-13,72,f,27.5,240.0,93.309,20.0
2005-13,128,f,27.5,250.0,93.309,19.0
2005-13,80,f,27.5,260.0,104.867,22.0
2005-13,31,f,32.5,230.0,64.414,22.0
2005-13,34,f,32.5,250.0,80.5952,22.0
2005-13,58,f,32.5,220.0,85.2184,20.0
2005-13,75,f,32.5,270.0,94.4648,22.0
2005-13,73,f,32.5,260.0,110.646,22.0
2005-13,115,f,32.5,260.0,111.8018,25.0
2005-13,25,f,35.0,230.0,118.7366,25.0
2005-13,21,f,37.5,230.0,66.7256,20.0
2005-13,47,f,37.5,260.0,79.4394,20.0
2005-13,41,f,37.5,260.0,81.751,20.0
2005-13,130,f,37.5,250.0,99.088,24.0
2005-13,9,f,37.5,260.0,100.2438,20.0
2005-13,119,f,42.5,260.0,117.5808,25.0
2005-13,111,m,2.5,140.0,38.2,10.0
2005-13,35,m,3.5,160.0,44.6,15.0
